index,state,year,no2
549,NY,2004,21.93274420173754
550,NY,2005,21.143521886071145
551,NY,2006,19.751758523219237
552,NY,2007,18.82059149166753
553,NY,2008,19.172532640677257
554,NY,2009,18.723672139294706
555,NY,2010,19.712245239127757
556,NY,2011,20.060349881854545
557,NY,2012,18.591854175804862
558,NY,2013,20.82848620701523
559,NY,2014,17.239430957938904
560,NY,2015,18.256291437731598
561,NY,2016,15.579487062362453
562,OH,2000,25.712287343102997
563,OH,2001,25.24705146045947
564,OH,2002,23.8691468638774
565,OH,2003,24.611857418381383
566,OH,2004,21.489370452542474
567,OH,2005,23.833665318419975
568,OH,2006,20.542090110836092
569,OH,2007,18.190477864205086
570,OH,2008,17.545246804953084
571,OH,2009,15.933292869491337
572,OH,2010,17.377243826831936
573,OH,2011,16.28711717432467
574,OH,2012,17.80823450180864
575,OH,2013,16.29463384450757
576,OH,2014,17.19323659103537
577,OH,2015,17.143927964862666
578,OH,2016,15.355032527769836
579,OK,2000,16.37970597686863
580,OK,2001,17.45263246755334
581,OK,2002,15.570403026351014
582,OK,2003,15.859754320595345
583,OK,2004,15.38428168802593
584,OK,2005,18.19757400605938
585,OK,2006,15.73376958340277
586,OK,2007,12.990493562061403
587,OK,2008,11.823020351869305
588,OK,2009,12.072453885978044
589,OK,2010,12.302499595268246
590,OK,2011,13.680167268411962
591,OK,2012,13.00102779690341
592,OK,2013,12.192043514946722
593,OK,2014,10.698421007415543
594,OK,2015,12.054194515385467
595,OK,2016,9.838778747676155
596,OR,2000,22.127374275968595
597,OR,2001,20.008927697638054
598,OR,2002,18.612643516983002
599,OR,2003,16.070574446193618
600,OR,2004,14.038526715483727
601,OR,2005,12.487204972153018
602,OR,2006,9.909735708579364
603,OR,2007,9.930755988271224
604,OR,2008,14.427052690862348
605,OR,2009,13.614708714353963
606,OR,2010,11.912014448308575
607,OR,2011,9.910878900830633
608,OR,2012,10.14671100723323
609,OR,2013,9.67836643944287
610,OR,2014,11.657804987275918
611,OR,2015,12.662910373270336
612,OR,2016,10.22149070209012
613,PA,2000,23.84819522496234
614,PA,2001,23.308349537376483
615,PA,2002,22.28563847761403
616,PA,2003,22.38872742918203
617,PA,2004,20.762683971380635
618,PA,2005,21.339636143026283
619,PA,2006,19.23430271146425
620,PA,2007,18.26817349972571
621,PA,2008,17.389485535519086
622,PA,2009,15.700515147925381
623,PA,2010,15.731577932537444
624,PA,2011,18.193990425534135
625,PA,2012,17.29574899612786
626,PA,2013,14.870647627220858
627,PA,2014,15.372157059201838
628,PA,2015,15.684348674295629
629,PA,2016,14.548666186385478
630,RI,2000,24.34422127326468
